Dataset	AUROC_Score	AUPRC_Score
Training	0.7581	0.5769
Training	0.7777	0.6095
Training	0.7622	0.5738
Training	0.7748	0.5997
Training	0.7602	0.5885
Training	0.7689	0.5870
Training	0.7800	0.5948
Training	0.7622	0.5889
Training	0.7675	0.6013
Training	0.7689	0.5859
Training	0.7670	0.5743
Training	0.7630	0.5610
Training	0.7627	0.5702
Training	0.7598	0.5594
Training	0.7663	0.5693
Training	0.7616	0.5697
Training	0.7522	0.5813
Training	0.7610	0.5692
Training	0.7735	0.5792
Training	0.7596	0.5678
Training	0.7777	0.5869
Training	0.7567	0.5669
Training	0.7700	0.5791
Training	0.7668	0.5657
Training	0.7652	0.5741
Training	0.7729	0.5777
Training	0.7692	0.5867
Training	0.7635	0.5801
Training	0.7694	0.5873
Training	0.7646	0.5848
Training	0.7646	0.5439
Training	0.7656	0.5765
Training	0.7756	0.5947
Training	0.7688	0.5881
Training	0.7641	0.5914
Training	0.7773	0.5680
Training	0.7545	0.5788
Training	0.7641	0.5929
Training	0.7772	0.5986
Training	0.7713	0.5882
Training	0.7639	0.5780
Training	0.7707	0.5901
Training	0.7633	0.5841
Training	0.7544	0.5633
Training	0.7650	0.5631
Training	0.7625	0.5859
Training	0.7656	0.5639
Training	0.7623	0.5723
Training	0.7626	0.5936
Training	0.7664	0.6040
Training	0.7620	0.5934
Training	0.7505	0.5714
Training	0.7747	0.5937
Training	0.7640	0.5626
Training	0.7624	0.5737
Training	0.7661	0.5790
Training	0.7647	0.5975
Training	0.7640	0.5707
Training	0.7671	0.5913
Training	0.7710	0.5836
Training	0.7686	0.5766
Training	0.7577	0.5598
Training	0.7670	0.5793
Training	0.7625	0.5568
Training	0.7647	0.5799
Training	0.7682	0.5789
Training	0.7611	0.5640
Training	0.7556	0.5673
Training	0.7644	0.5883
Training	0.7605	0.5758
Training	0.7606	0.5765
Training	0.7638	0.5904
Training	0.7518	0.5747
Training	0.7718	0.5847
Training	0.7702	0.6064
Training	0.7648	0.5912
Training	0.7767	0.5783
Training	0.7648	0.5781
Training	0.7618	0.5788
Training	0.7554	0.5661
Training	0.7674	0.5925
Training	0.7642	0.5926
Training	0.7591	0.5779
Training	0.7698	0.5735
Training	0.7738	0.5966
Training	0.7681	0.5833
Training	0.7640	0.5658
Training	0.7683	0.5797
Training	0.7580	0.5804
Training	0.7676	0.5862
Training	0.7612	0.5715
Training	0.7704	0.5904
Training	0.7720	0.5739
Training	0.7600	0.5795
Training	0.7667	0.5816
Training	0.7594	0.5677
Training	0.7686	0.5735
Training	0.7640	0.5769
Training	0.7730	0.6024
Training	0.7696	0.5848
Training	0.7712	0.5833
Validation	0.6744	0.5192
Validation	0.6328	0.3705
Validation	0.6807	0.4852
Validation	0.6927	0.4145
Validation	0.6663	0.3794
Validation	0.6588	0.4363
Validation	0.6246	0.4340
Validation	0.6597	0.4479
Validation	0.6495	0.3386
Validation	0.6415	0.4211
Validation	0.7016	0.5024
Validation	0.7391	0.5802
Validation	0.7361	0.5312
Validation	0.7185	0.5889
Validation	0.6934	0.5320
Validation	0.6732	0.5006
Validation	0.6961	0.4729
Validation	0.7222	0.5203
Validation	0.6662	0.4890
Validation	0.7553	0.5408
Validation	0.6419	0.4721
Validation	0.7711	0.5921
Validation	0.6691	0.4898
Validation	0.7008	0.5506
Validation	0.7547	0.5537
Validation	0.7460	0.5566
Validation	0.6800	0.4440
Validation	0.6884	0.4592
Validation	0.6939	0.4683
Validation	0.6757	0.4522
Validation	0.6707	0.5645
Validation	0.7133	0.5076
Validation	0.6356	0.3790
Validation	0.6736	0.4552
Validation	0.6873	0.4196
Validation	0.6691	0.5060
Validation	0.7729	0.4966
Validation	0.6621	0.4437
Validation	0.6149	0.3610
Validation	0.6720	0.4397
Validation	0.7324	0.5107
Validation	0.6571	0.4246
Validation	0.6714	0.4112
Validation	0.6975	0.4834
Validation	0.7265	0.5538
Validation	0.6966	0.4670
Validation	0.7294	0.5556
Validation	0.7414	0.5681
Validation	0.7464	0.5192
Validation	0.6822	0.3486
Validation	0.7199	0.4690
Validation	0.7247	0.5122
Validation	0.6180	0.4316
Validation	0.6922	0.5336
Validation	0.6943	0.4742
Validation	0.6750	0.4578
Validation	0.6751	0.3712
Validation	0.6699	0.4620
Validation	0.6701	0.4199
Validation	0.6957	0.4992
Validation	0.6895	0.5139
Validation	0.7004	0.5017
Validation	0.7131	0.4918
Validation	0.6935	0.5261
Validation	0.7138	0.5053
Validation	0.6955	0.5104
Validation	0.7201	0.5989
Validation	0.6904	0.4797
Validation	0.7473	0.4952
Validation	0.7213	0.4913
Validation	0.6905	0.4657
Validation	0.6603	0.4374
Validation	0.7895	0.5788
Validation	0.6361	0.4202
Validation	0.6356	0.3918
Validation	0.6846	0.4587
Validation	0.6865	0.5175
Validation	0.6960	0.5228
Validation	0.6722	0.4424
Validation	0.6827	0.5139
Validation	0.6637	0.4318
Validation	0.6842	0.4060
Validation	0.6976	0.4868
Validation	0.6779	0.5039
Validation	0.6620	0.4234
Validation	0.6732	0.4456
Validation	0.7062	0.5335
Validation	0.7039	0.4584
Validation	0.6763	0.4178
Validation	0.6835	0.4906
Validation	0.6590	0.4826
Validation	0.7131	0.5308
Validation	0.6742	0.4875
Validation	0.7481	0.5013
Validation	0.6868	0.4419
Validation	0.7249	0.5467
Validation	0.7116	0.5079
Validation	0.7296	0.5208
Validation	0.6012	0.3644
Validation	0.7138	0.4605
Validation	0.6658	0.4912